din,brand_name,company_name,active_ingredients,last_update
02549298,JAMP ZOPICLONE,JAMP PHARMA CORPORATION,ZOPICLONE 5 MG,12-AUG-2025
02549301,JAMP ZOPICLONE,JAMP PHARMA CORPORATION,ZOPICLONE 7.5 MG,09-SEP-2025
02549328,BIO-RIVAROXABAN,BIOMED PHARMA,RIVAROXABAN 2.5 MG,08-AUG-2025
02549336,BIO-RIVAROXABAN,BIOMED PHARMA,RIVAROXABAN 10 MG,08-AUG-2025
02549344,BIO-RIVAROXABAN,BIOMED PHARMA,RIVAROXABAN 15 MG,08-AUG-2025
02549352,BIO-RIVAROXABAN,BIOMED PHARMA,RIVAROXABAN 20 MG,08-AUG-2025
02549379,FOSAPREPITANT FOR INJECTION,JUNO PHARMACEUTICALS CORP.,FOSAPREPITANT (FOSAPREPITANT DIMEGLUMINE) 150 MG,04-SEP-2025
02549395,M-TRANEXAMIC ACID,MANTRA PHARMA INC,TRANEXAMIC ACID 500 MG,22-MAR-2025
02549417,EXTRA STRENGTH TYLENOL EASY DISSOLVE,KENVUE CANADA INC.,ACETAMINOPHEN 500 MG,12-SEP-2025
02549425,M-FEBUXOSTAT,MANTRA PHARMA INC,FEBUXOSTAT (FEBUXOSTAT HEMIHYDRATE) 80 MG,26-MAY-2025
02549433,MAR-ESZOPICLONE,MARCAN PHARMACEUTICALS INC,ESZOPICLONE 1 MG,22-MAR-2025
02549441,MAR-ESZOPICLONE,MARCAN PHARMACEUTICALS INC,ESZOPICLONE 2 MG,22-MAR-2025
02549468,MAR-ESZOPICLONE,MARCAN PHARMACEUTICALS INC,ESZOPICLONE 3 MG,22-MAR-2025
02549484,C5 SHEER MOISTURIZER,PAULA'S CHOICE LLC,OCTOCRYLENE 2 % / OCTISALATE 5 % / AVOBENZONE 2 % / OCTINOXATE 7.5 %,13-JUN-2025
02549611,JAMP CABERGOLINE,JAMP PHARMA CORPORATION,CABERGOLINE 0.5 MG,22-MAR-2025
02549638,PMSC-SIMVASTATIN,PHARMASCIENCE INC,SIMVASTATIN 5 MG,16-JUN-2025
